*** SOLVE (FeasShoot) ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  3.930e-03  3.930e-03  1.473e+00  0.000e+00  1.000e-09  1.000e-09  0.0625  1.473e+00  0.000e+00  5.582e-05 -3.794e-03 -3.930e-03 -3.794e-03 -3.930e-03
   1  8.724e-03  8.724e-03  1.427e+00  1.153e-01  1.000e-09  1.000e-09  0.0312  1.427e+00  0.000e+00  8.192e-05 -4.453e-03 -4.793e-03 -4.453e-03 -4.793e-03
   2  1.739e-02  1.739e-02  1.382e+00  1.684e-01  1.000e-09  1.000e-09  0.0312  1.382e+00  0.000e+00  7.927e-05 -6.101e-03 -8.669e-03 -6.101e-03 -8.669e-03
   3  2.198e-02  2.198e-02  1.361e+00  2.296e-01  1.000e-09  1.000e-09  0.0156  1.360e+00  0.000e+00  8.043e-05 -3.821e-03 -4.587e-03 -3.821e-03 -4.587e-03
   4  2.910e-02  2.910e-02  1.349e+00  2.738e-01  1.000e-09  1.000e-09  0.0156  1.339e+00  0.000e+00  8.059e-05 -4.550e-03 -7.120e-03 -4.550e-03 -7.120e-03
   5  3.285e-02  3.285e-02  1.868e+00  3.389e-01  1.000e-09  1.000e-09  0.0078  1.329e+00  0.000e+00  8.090e-05 -2.745e-03 -3.747e-03 -2.745e-03 -3.747e-03
   6  3.827e-02  3.827e-02  2.183e+00  3.629e-01  1.000e-09  1.000e-09  0.0078  1.318e+00  0.000e+00  8.049e-05 -2.951e-03 -5.419e-03 -2.951e-03 -5.419e-03
   7  4.396e-02  4.396e-02  2.828e+00  3.546e-01  1.000e-09  1.000e-09  0.0078  1.308e+00  0.000e+00  8.331e-05 -2.929e-03 -5.697e-03 -2.929e-03 -5.697e-03
   8  5.229e-02  5.229e-02  3.116e+00  2.179e-01  1.000e-09  1.000e-09  0.0156  1.288e+00  0.000e+00  1.019e-04 -4.152e-03 -8.330e-03 -4.152e-03 -8.330e-03
   9  5.732e-02  5.732e-02  2.328e+00  1.096e-02  1.000e-09  1.000e-09  0.0312  1.247e+00  0.000e+00  1.028e-04 -2.072e-03 -5.023e-03 -2.072e-03 -5.023e-03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  6.428e-02  6.428e-02  2.218e+00  3.196e-01  1.000e-09  1.000e-09  0.0156  1.228e+00  0.000e+00  1.120e-04 -5.493e-03 -6.961e-03 -5.493e-03 -6.961e-03
  11  6.823e-02  6.823e-02  1.910e+00  2.183e-01  1.000e-09  1.000e-09  0.0156  1.209e+00  0.000e+00  1.206e-04 -3.856e-03 -3.948e-03 -3.856e-03 -3.948e-03
  12  8.118e-02  8.118e-02  1.722e+00  2.782e-01  1.000e-09  1.000e-09  0.0312  1.171e+00  0.000e+00  5.043e-05 -1.024e-02 -1.295e-02 -1.024e-02 -1.295e-02
  13  8.356e-02  8.356e-02  1.401e+00  2.894e-01  1.000e-09  1.000e-09  0.0078  1.162e+00  0.000e+00  5.041e-05 -2.336e-03 -2.382e-03 -2.336e-03 -2.382e-03
  14  8.605e-02  8.605e-02  1.336e+00  3.027e-01  1.000e-09  1.000e-09  0.0078  1.153e+00  0.000e+00  5.096e-05 -2.435e-03 -2.494e-03 -2.435e-03 -2.494e-03
  15  8.863e-02  8.863e-02  1.271e+00  3.103e-01  1.000e-09  1.000e-09  0.0078  1.144e+00  0.000e+00  5.296e-05 -2.489e-03 -2.579e-03 -2.489e-03 -2.579e-03
  16  9.128e-02  9.128e-02  1.205e+00  3.137e-01  1.000e-09  1.000e-09  0.0078  1.135e+00  0.000e+00  5.664e-05 -2.512e-03 -2.655e-03 -2.512e-03 -2.655e-03
  17  9.724e-02  9.724e-02  1.138e+00  3.142e-01  1.000e-09  1.000e-09  0.0156  1.117e+00  0.000e+00  7.556e-05 -5.138e-03 -5.955e-03 -5.138e-03 -5.955e-03
  18  1.024e-01  1.024e-01  1.100e+00  3.038e-01  1.000e-09  1.000e-09  0.0156  1.100e+00  0.000e+00  7.857e-05 -4.945e-03 -5.142e-03 -4.945e-03 -5.142e-03
  19  1.049e-01  1.049e-01  1.091e+00  2.988e-01  1.000e-09  1.000e-09  0.0078  1.091e+00  0.000e+00  7.869e-05 -2.376e-03 -2.560e-03 -2.376e-03 -2.560e-03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  20  1.106e-01  1.106e-01  1.074e+00  2.908e-01  1.000e-09  1.000e-09  0.0156  1.074e+00  0.000e+00  8.761e-05 -4.700e-03 -5.632e-03 -4.700e-03 -5.632e-03
  21  1.152e-01  1.152e-01  1.057e+00  2.695e-01  1.000e-09  1.000e-09  0.0156  1.057e+00  0.000e+00  8.801e-05 -4.345e-03 -4.650e-03 -4.345e-03 -4.650e-03
  22  1.195e-01  1.195e-01  1.041e+00  2.518e-01  1.000e-09  1.000e-09  0.0156  1.041e+00  0.000e+00  8.812e-05 -4.048e-03 -4.301e-03 -4.048e-03 -4.301e-03
  23  1.268e-01  1.268e-01  1.008e+00  2.342e-01  1.000e-09  1.000e-09  0.0312  1.008e+00  0.000e+00  8.627e-05 -7.713e-03 -7.319e-03 -7.713e-03 -7.319e-03
  24  1.329e-01  1.329e-01  9.767e-01  2.006e-01  1.000e-09  1.000e-09  0.0312  9.766e-01  0.000e+00  8.368e-05 -6.559e-03 -6.026e-03 -6.559e-03 -6.026e-03
  25  1.383e-01  1.383e-01  9.462e-01  1.800e-01  1.000e-09  1.000e-09  0.0312  9.461e-01  0.000e+00  8.115e-05 -5.850e-03 -5.420e-03 -5.850e-03 -5.420e-03
  26  1.433e-01  1.433e-01  9.166e-01  1.669e-01  1.000e-09  1.000e-09  0.0312  9.165e-01  0.000e+00  7.865e-05 -5.394e-03 -5.031e-03 -5.394e-03 -5.031e-03
  27  1.481e-01  1.481e-01  8.880e-01  1.584e-01  1.000e-09  1.000e-09  0.0312  8.879e-01  0.000e+00  7.622e-05 -5.094e-03 -4.779e-03 -5.094e-03 -4.779e-03
  28  1.527e-01  1.527e-01  8.602e-01  1.523e-01  1.000e-09  1.000e-09  0.0312  8.601e-01  0.000e+00  7.387e-05 -4.880e-03 -4.620e-03 -4.880e-03 -4.620e-03
  29  1.572e-01  1.572e-01  8.333e-01  1.473e-01  1.000e-09  1.000e-09  0.0312  8.333e-01  0.000e+00  7.161e-05 -4.707e-03 -4.494e-03 -4.707e-03 -4.494e-03
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  30  1.616e-01  1.616e-01  8.073e-01  1.429e-01  1.000e-09  1.000e-09  0.0312  8.072e-01  0.000e+00  6.941e-05 -4.553e-03 -4.377e-03 -4.553e-03 -4.377e-03
  31  1.701e-01  1.701e-01  7.568e-01  1.387e-01  1.000e-09  1.000e-09  0.0625  7.568e-01  0.000e+00  6.536e-05 -8.969e-03 -8.538e-03 -8.969e-03 -8.538e-03
  32  1.783e-01  1.783e-01  7.095e-01  1.288e-01  1.000e-09  1.000e-09  0.0625  7.095e-01  0.000e+00  6.144e-05 -8.283e-03 -8.181e-03 -8.283e-03 -8.181e-03
  33  1.859e-01  1.859e-01  6.652e-01  1.199e-01  1.000e-09  1.000e-09  0.0625  6.651e-01  0.000e+00  5.764e-05 -7.672e-03 -7.611e-03 -7.672e-03 -7.611e-03
  34  2.003e-01  2.003e-01  5.820e-01  1.113e-01  1.000e-09  1.000e-09  0.1250  5.820e-01  0.000e+00  5.069e-05 -1.448e-02 -1.441e-02 -1.448e-02 -1.441e-02
  35  2.063e-01  2.063e-01  5.457e-01  9.331e-02  1.000e-09  1.000e-09  0.0625  5.456e-01  0.000e+00  4.868e-05 -5.930e-03 -6.014e-03 -5.930e-03 -6.014e-03
  36  2.204e-01  2.204e-01  4.775e-01  8.634e-02  1.000e-09  1.000e-09  0.1250  4.774e-01  0.000e+00  6.847e-05 -1.112e-02 -1.406e-02 -1.112e-02 -1.406e-02
  37  2.289e-01  2.289e-01  4.178e-01  6.696e-02  1.000e-09  1.000e-09  0.1250  4.177e-01  0.000e+00  6.135e-05 -8.651e-03 -8.467e-03 -8.651e-03 -8.467e-03
  38  2.357e-01  2.357e-01  3.656e-01  5.715e-02  1.000e-09  1.000e-09  0.1250  3.655e-01  0.000e+00  5.048e-05 -7.352e-03 -6.856e-03 -7.352e-03 -6.856e-03
  39  2.484e-01  2.484e-01  2.742e-01  4.953e-02  1.000e-09  1.000e-09  0.2500  2.741e-01  0.000e+00  4.349e-05 -1.298e-02 -1.268e-02 -1.298e-02 -1.268e-02
