*** SOLVE with Box-FDDP ***
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
   0  1.421e+06  3.728e+06  1.846e+06  3.780e+06  1.000e-09  1.000e-09  0.1250  4.489e-01  0.000e+00  0.000e+00  4.422e+05  4.350e+05  4.834e+05  7.646e+05
   1  1.088e+06  2.853e+06  1.413e+06  2.896e+06  1.000e-09  1.000e-09  0.1250  3.928e-01  0.000e+00  0.000e+00  3.388e+05  3.329e+05  3.703e+05  5.852e+05
   2  6.126e+05  1.771e+06  1.081e+06  2.219e+06  1.000e-09  1.000e-09  0.2500  2.946e-01  0.000e+00  0.000e+00  4.837e+05  4.750e+05  5.802e+05  8.610e+05
   3  1.565e+05  5.903e+05  6.073e+05  1.252e+06  1.000e-09  1.000e-09  0.5000  1.473e-01  0.000e+00  0.000e+00  4.649e+05  4.562e+05  6.819e+05  8.900e+05
   4  4.169e+04  1.507e+05  1.526e+05  3.179e+05  1.000e-09  1.000e-09  0.5000  7.365e-02  0.000e+00  0.000e+00  1.176e+05  1.148e+05  1.721e+05  2.238e+05
   5  1.344e+04  4.078e+04  3.828e+04  8.037e+04  1.000e-09  1.000e-09  0.5000  3.683e-02  0.000e+00  0.000e+00  2.966e+04  2.825e+04  4.333e+04  5.559e+04
   6  5.735e+03  1.303e+04  1.021e+04  2.161e+04  1.000e-09  1.000e-09  0.5000  1.841e-02  0.000e+00  0.000e+00  7.954e+03  7.704e+03  1.160e+04  1.500e+04
   7  3.931e+03  3.931e+03  2.559e+03  5.538e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  2.559e+03  1.804e+03  6.214e+03  5.459e+03
   8  3.199e+03  3.199e+03  7.818e+02  1.564e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  7.818e+02  7.320e+02  7.818e+02  7.320e+02
   9  3.160e+03  3.160e+03  4.363e+01  8.727e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  4.363e+01  3.958e+01  4.363e+01  3.958e+01
iter    cost       merit      stop      |grad|      preg       dreg      step   ||ffeas||  ||gfeas||  ||hfeas||   dV-exp       dV      dPhi-exp     dPhi
  10  3.156e+03  3.156e+03  3.618e+00  7.237e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  3.618e+00  3.417e+00  3.618e+00  3.417e+00
  11  3.156e+03  3.156e+03  1.952e-01  3.903e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.952e-01  1.950e-01  1.952e-01  1.950e-01
  12  3.156e+03  3.156e+03  1.713e-04  3.427e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  1.713e-04  1.623e-04  1.713e-04  1.623e-04
  13  3.156e+03  3.156e+03  4.323e-06  8.647e-06  1.000e-09  1.000e-09  1.0000  0.000e+00  0.000e+00  0.000e+00  4.323e-06  3.142e-06  4.323e-06  3.142e-06
  14  3.156e+03  3.156e+03  4.728e-07  9.456e-07  1.000e-08  1.000e-08  1.0000  0.000e+00  0.000e+00  0.000e+00  4.728e-07  3.213e-07  4.728e-07  3.213e-07
  15  3.156e+03  3.156e+03  5.569e-08  1.114e-07  1.000e-07  1.000e-07  1.0000  0.000e+00  0.000e+00  0.000e+00  5.569e-08  3.683e-08  5.569e-08  3.683e-08
*** SOLVE with Box-DDP ***
