*** SOLVE walking ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
   0  2.050e+04  7.989e+05  1.598e+06  1.000e-09  1.000e-09  1.0000  0.000e+00  4.071e+01  7.989e+05  7.791e+05
   1  1.593e+04  1.992e+04  3.997e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  2.683e+00  1.992e+04  4.573e+03
   2  7.775e+03  1.534e+04  3.068e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  7.770e-01  1.534e+04  8.152e+03
   3  1.238e+03  7.186e+03  1.437e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  4.232e-01  7.186e+03  6.536e+03
   4  5.961e+02  6.498e+02  1.300e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  2.836e-02  6.498e+02  6.422e+02
   5  5.886e+02  7.581e+00  1.516e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  2.796e-03  7.581e+00  7.506e+00
   6  5.885e+02  1.206e-01  2.413e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  2.263e-03  1.206e-01  1.206e-01
   7  5.885e+02  3.370e-04  6.420e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  2.961e-05  3.370e-04  3.375e-04
   8  5.885e+02  1.243e-06  2.562e-06  1.000e-09  1.000e-09  1.0000  0.000e+00  1.115e-09  1.243e-06  1.243e-06
   9  5.885e+02  9.431e-13  3.181e-12  1.000e-08  1.000e-08  1.0000  0.000e+00  2.190e-13  9.431e-13  1.478e-12
*** SOLVE trotting ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
   0  2.216e+04  4.592e+05  9.187e+05  1.000e-09  1.000e-09  1.0000  6.323e-02  5.108e+01  4.592e+05  4.375e+05
   1  1.214e+03  2.173e+04  4.351e+04  1.000e-09  1.000e-09  1.0000  0.000e+00  2.786e+00  2.173e+04  2.095e+04
   2  4.482e+02  7.856e+02  1.571e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  2.877e-01  7.856e+02  7.656e+02
   3  4.280e+02  2.148e+01  4.294e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  6.778e-02  2.148e+01  2.020e+01
   4  4.266e+02  1.577e+00  3.153e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  3.002e-02  1.577e+00  1.391e+00
   5  4.264e+02  1.859e-01  3.726e-01  1.000e-09  1.000e-09  1.0000  0.000e+00  2.843e-05  1.859e-01  1.859e-01
   6  4.264e+02  6.121e-08  7.644e-08  1.000e-09  1.000e-09  1.0000  0.000e+00  5.246e-09  -6.121e-08  -6.105e-08
   7  4.264e+02  2.879e-10  4.871e-10  1.000e-08  1.000e-08  1.0000  0.000e+00  4.172e-11  2.879e-10  2.885e-10
*** SOLVE pacing ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
   0  5.658e+04  4.588e+05  9.348e+05  1.000e-09  1.000e-09  1.0000  1.910e-01  2.755e+02  4.588e+05  4.030e+05
   1  3.558e+03  5.582e+04  1.117e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  6.534e+00  5.582e+04  5.302e+04
   2  1.042e+03  2.801e+03  5.603e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  5.817e-01  2.801e+03  2.517e+03
   3  7.827e+02  2.848e+02  5.696e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  4.846e-02  2.848e+02  2.588e+02
   4  7.567e+02  2.604e+01  5.208e+01  1.000e-09  1.000e-09  1.0000  0.000e+00  4.044e-03  2.604e+01  2.604e+01
   5  7.567e+02  4.756e-03  9.402e-03  1.000e-09  1.000e-09  1.0000  0.000e+00  3.492e-04  4.756e-03  4.766e-03
   6  7.567e+02  4.547e-05  8.322e-05  1.000e-09  1.000e-09  1.0000  0.000e+00  6.565e-08  4.547e-05  4.547e-05
   7  7.567e+02  3.303e-08  1.145e-08  1.000e-08  1.000e-08  1.0000  0.000e+00  4.448e-10  3.303e-08  3.302e-08
   8  7.567e+02  1.166e-09  3.730e-10  1.000e-08  1.000e-08  1.0000  0.000e+00  1.631e-11  1.166e-09  1.165e-09
   9  7.567e+02  4.294e-11  1.489e-11  1.000e-08  1.000e-08  1.0000  0.000e+00  6.821e-13  4.294e-11  4.115e-11
*** SOLVE bounding ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
   0  1.951e+05  4.579e+05  9.511e+05  1.000e-09  1.000e-09  1.0000  8.396e-01  1.834e+02  4.579e+05  2.646e+05
   1  7.782e+04  1.932e+05  3.863e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  4.146e+01  1.932e+05  1.173e+05
   2  3.295e+03  7.585e+04  1.517e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  3.875e+00  7.585e+04  7.452e+04
   3  2.044e+03  1.328e+03  2.656e+03  1.000e-09  1.000e-09  1.0000  0.000e+00  2.342e-01  1.328e+03  1.250e+03
   4  1.973e+03  7.883e+01  1.576e+02  1.000e-09  1.000e-09  1.0000  0.000e+00  3.170e-02  7.883e+01  7.113e+01
   5  1.967e+03  8.091e+00  1.618e+01  1.000e-09  1.000e-09  0.5000  0.000e+00  2.747e-02  6.067e+00  6.068e+00
   6  1.966e+03  2.026e+00  4.048e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  2.198e-02  2.026e+00  7.491e-01
   7  1.965e+03  1.291e+00  2.581e+00  1.000e-09  1.000e-09  1.0000  0.000e+00  1.080e-03  1.291e+00  1.291e+00
   8  1.965e+03  7.908e-05  1.109e-04  1.000e-09  1.000e-09  1.0000  0.000e+00  2.009e-07  7.908e-05  7.907e-05
   9  1.965e+03  5.063e-07  2.249e-07  1.000e-09  1.000e-09  1.0000  0.000e+00  2.659e-08  5.063e-07  5.062e-07
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
  10  1.965e+03  4.295e-08  1.996e-08  1.000e-08  1.000e-08  1.0000  0.000e+00  2.059e-09  4.295e-08  4.295e-08
  11  1.965e+03  3.956e-09  1.846e-09  1.000e-08  1.000e-08  1.0000  0.000e+00  2.106e-10  3.956e-09  3.956e-09
  12  1.965e+03  3.687e-10  1.742e-10  1.000e-08  1.000e-08  1.0000  0.000e+00  1.905e-11  3.687e-10  3.874e-10
*** SOLVE jumping ***
iter    cost       stop       grad       xreg       ureg      step   ||ffeas||  ||hfeas||   dV-exp       dV    
   0  4.146e+05  1.870e+06  4.002e+06  1.000e-09  1.000e-09  1.0000  1.687e+00  1.084e+03  1.870e+06  1.458e+06
   1  4.531e+05  4.110e+05  8.255e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  2.990e+02  4.110e+05  -3.843e+04
   2  1.553e+05  4.493e+05  8.987e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  2.990e+02  4.493e+05  2.977e+05
   3  1.184e+04  1.515e+05  3.031e+05  1.000e-09  1.000e-09  1.0000  0.000e+00  2.990e+02  1.515e+05  1.435e+05
